rate,billing_period,basic,intermediate,excess
1A,2024-01,0.909,1.051,3.62
1A,2024-02,0.912,1.055,3.633
1A,2024-03,0.915,1.059,3.646
1A,2024-04,0.918,1.063,3.659
1A,2024-05,0.921,1.067,3.672
1A,2024-06,0.924,1.071,3.685
1A,2024-07,0.927,1.075,3.698
1A,2024-08,0.93,1.079,3.711
1A,2024-09,0.933,1.083,3.724
1A,2024-10,0.936,1.087,3.737
1A,2024-11,0.939,1.091,3.75
1A,2024-12,0.942,1.095,3.763
1B,2024-01,0.909,1.051,3.62
1B,2024-02,0.912,1.055,3.633
1B,2024-03,0.915,1.059,3.646
1B,2024-04,0.918,1.063,3.659
1B,2024-05,0.921,1.067,3.672
1B,2024-06,0.924,1.071,3.685
1B,2024-07,0.927,1.075,3.698
1B,2024-08,0.93,1.079,3.711
1B,2024-09,0.933,1.083,3.724
1B,2024-10,0.936,1.087,3.737
1B,2024-11,0.939,1.091,3.75
1B,2024-12,0.942,1.095,3.763
